Período,Resíduo PARp,El Nino Forte,El Nino Médio,El Nino Fraco,La Nina Forte,La Nina Medio/Fraco,Manchas Solares,SOI,ENA,delta_ena,residuo_desp
Feb-44,0.12,0.00,0.00,0.00,0.00,0.00,0.50,3.90,2978,-5070.45,-3720.649078
Mar-44,0.20,0.00,0.00,0.00,0.00,0.00,11.00,5.60,6047,-2001.45,1944.396954
Apr-44,-0.56,0.00,0.00,0.00,0.00,0.00,0.30,-5.50,2729,-5319.45,-2917.511784
May-44,-0.35,0.00,0.00,0.00,0.00,0.00,2.50,-1.10,1389,-6659.45,-3960.593112
Jun-44,-0.15,0.00,0.00,0.00,0.00,0.00,5.00,-3.90,2495,-5553.45,-2521.554625
Jul-44,-0.28,0.00,0.00,0.00,0.00,0.00,5.00,-8.90,2281,-5767.45,-1128.56814
Aug-44,-0.39,0.00,0.00,0.00,0.00,0.00,16.70,3.30,1230,-6818.45,-4905.33561
Sep-44,-0.07,0.00,0.00,0.00,0.00,0.00,14.30,2.60,2306,-5742.45,-3635.141835
Oct-44,-0.40,0.00,0.00,0.00,0.00,0.00,16.90,-8.60,2206,-5842.45,-5670.638891
Nov-44,0.21,0.00,0.00,0.00,0.00,0.00,10.80,-6.70,4102,-3946.45,-186.5820219
Dec-44,-0.77,0.00,0.00,0.00,0.00,0.00,28.40,4.20,3045,-5003.45,-1734.627888
Jan-45,-0.20,0.00,0.00,0.00,0.00,0.00,18.50,5.10,1148,-6900.45,-3837
Feb-45,1.25,0.00,0.00,0.00,0.00,0.00,12.70,6.30,2602,-5446.45,-1261.242936
Mar-45,0.04,0.00,0.00,0.00,0.00,0.00,21.50,13.20,3184,-4864.45,-741.243564
Apr-45,1.42,0.00,0.00,0.00,0.00,0.00,32.00,-7.10,1557,-6491.45,-2241.502956
May-45,-0.88,0.00,0.00,0.00,0.00,0.00,30.60,-0.30,1185,-6863.45,-3296.543712
Jun-45,-0.41,0.00,0.00,0.00,0.00,0.00,36.20,8.30,1844,-6204.45,-3050.81775
Jul-45,0.15,0.00,0.00,0.00,0.00,0.00,42.60,3.50,6075,-1973.45,3124.474776
Aug-45,-0.89,0.00,0.00,0.00,0.00,0.00,25.90,11.70,3612,-4436.45,-3875.649022
Sep-45,-0.34,0.00,0.00,0.00,0.00,0.00,34.90,8.70,3555,-4493.45,-3768.87615
Oct-45,-0.51,0.00,0.00,0.00,0.00,0.00,68.80,2.40,3953,-4095.45,-4528.223958
